Surg_ORCC,Surg_Name,Tray_Name,Tray_ID,Num_of_Tray,
26634,CCS OPEN HEART CABG,CL/SICU ANKENEY RETRACTOR,26031,1,
26633,O/H HEART VALVE,CL/SICU ANKENEY RETRACTOR,26031,1,
26532,CCS ENT SINUS ENDOSCOPY,ENT BASIC F.E.S.S.,26899,1,
26544,CCS ENT TYMPANOPLASTY-STAPEDECTOMY,ENT EAR,25978,1,
26532,CCS ENT SINUS ENDOSCOPY,ENT NASAL,27831,1,
26532,CCS ENT SINUS ENDOSCOPY,ENT NASAL ANESTHESIA,25981,1,
26542,CCS ENT THYROIDECTOMY,ENT NECK DISSECTION,26978,1,
26603,RADICAL NECK-TRACH,ENT NECK DISSECTION,26978,1,tray does not exist
26542,CCS ENT THYROIDECTOMY,ENT TRACH,25977,1,
26549,CCS ENT TRACHEOSTOMY,ENT TRACH,25977,1,
26554,CATARACT PROCEDURE,EYE CATARACT LARGE SET,26006,1,
26554,CATARACT PROCEDURE,EYE PHACO SET,27949,1,
26553,CCS ENT BLEPHAROPLASTY,EYE PLASTIC,25973,1,
26632,PLASTIC PROCEDURE,EYE PLASTIC,25973,1,
26555,CCS EYE SCLERAL BUCKLE OR PPV,EYE SCELERAL BUCKLE,26005,1,
26610,ESOPHAGOGASTRECTOMY,GEN BOOKWALTER RETRACTOR,26017,1,tray does not exist
26610,ESOPHAGOGASTRECTOMY,GEN BOOKWALTER RINGS AND POSTS,26018,1,
25958,CCS GENERAL LAPAROSCOPIC COLECTOMY,GEN DEEP PELVIS,26014,1,
26610,ESOPHAGOGASTRECTOMY,GEN DEEP PELVIS,26014,1,
26513,CSS GENERAL HEMORRHOIDECTOMY-RECTAL BIOPSY,GEN HEMORRHOIDECTOMY SET,25966,1,
25958,CCS GENERAL LAPAROSCOPIC COLECTOMY,GEN INTESTINAL VASCULAR,25967,1,
26610,ESOPHAGOGASTRECTOMY,GEN INTESTINAL VASCULAR,25967,1,
26519,CCS GENERAL LAPAROSCOPIC ASSISTED,"GEN LAPAROSCOPIC, KARL STORZ ",26016,1,tray does not exist
25958,CCS GENERAL LAPAROSCOPIC COLECTOMY,"GEN LAPAROSCOPIC, KARL STORZ ",26016,1,
26520,CCS GENERAL LAPAROSCOPIC HERNIA REPAIR,"GEN LAPAROSCOPIC, KARL STORZ ",26016,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,"GEN LAPAROSCOPIC, KARL STORZ ",26016,1,
25958,CCS GENERAL LAPAROSCOPIC COLECTOMY,GEN NISSEN PAN #1,26898,3,
26513,CSS GENERAL HEMORRHOIDECTOMY-RECTAL BIOPSY,GEN SIGMOIDOSCOPY/POLY,25968,1,
26542,CCS ENT THYROIDECTOMY,GEN THYROID,27825,1,
26505,CCS GENERAL APPENDECTOMY,GEN TRAY MINOR BASIC,27967,1,
26514,CCS GENERAL HERNIA REPAIR-INGUINAL,GEN TRAY MINOR BASIC,27967,1,
26520,CCS GENERAL LAPAROSCOPIC HERNIA REPAIR,GEN TRAY MINOR BASIC,27967,1,
26507,CCS GENERAL CHOLECYSTECTOMY,GU TRAY RETRACTOR BALFOUR,26757,1,
26519,CCS GENERAL LAPAROSCOPIC ASSISTED,GU TRAY RETRACTOR BALFOUR,26757,1,
26604,RADICAL NECK-JEJUNAL GRAFT,GU TUR BOWL,27796,1,
26523,CCS GYN ABDOMINAL HYSTERECTOMY,GYN ABDOMINAL HYSTERECTOMY,26009,1,
26524,CCS GYN LAPAROSCOPE,GYN ABDOMINAL HYSTERECTOMY,26009,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,GYN ABDOMINAL HYSTERECTOMY,26009,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,GYN CYSTO SET,26894,1,
30512,CCS GENERAL THERMO-ABLATION MINOR SETUP,GYN D & C,26008,1,
26523,CCS GYN ABDOMINAL HYSTERECTOMY,GYN D & C,26008,1,
26522,CCS GYN D-C LEEP PROCEDURE,GYN D & C,26008,1,
26524,CCS GYN LAPAROSCOPE,GYN D & C,26008,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,GYN D & C,26008,1,
26521,CCS GYN A-P REPAIR-COLPORRHARPY,GYN VAGINAL HYSTERECTOMY (1 of 2),26010,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,GYN VAGINAL HYSTERECTOMY (1 of 2),26010,1,
26525,CCS GYN VAGINAL HYSTERECTOMY,GYN VAGINAL HYSTERECTOMY (1 of 2),26010,1,
26521,CCS GYN A-P REPAIR-COLPORRHARPY,GYN VAGINAL HYSTERECTOMY (2 of 2),26013,1,
26527,CCS GYN LAPAROSCOPIC ASSITED TVH,GYN VAGINAL HYSTERECTOMY (2 of 2),26013,1,
26525,CCS GYN VAGINAL HYSTERECTOMY,GYN VAGINAL HYSTERECTOMY (2 of 2),26013,1,
26505,CCS GENERAL APPENDECTOMY,MAJOR BASIC,26947,1,
26507,CCS GENERAL CHOLECYSTECTOMY,MAJOR BASIC,26947,1,
26519,CCS GENERAL LAPAROSCOPIC ASSISTED,MAJOR BASIC,26947,1,
25958,CCS GENERAL LAPAROSCOPIC COLECTOMY,MAJOR BASIC,26947,1,
26610,ESOPHAGOGASTRECTOMY,MAJOR BASIC,26947,1,
26677,NEPHROURETERECTOMY,MAJOR BASIC,26947,1,
26607,OPN CHST-BRONSCPY,MAJOR BASIC,26947,1,
26614,THORACOSCOPY,MAJOR BASIC,26947,1,
26634,CCS OPEN HEART CABG,OH RETRACTOR COUETIL IMA,26997,2,
26633,O/H HEART VALVE,OH RETRACTOR COUETIL IMA,26997,2,
26634,CCS OPEN HEART CABG,OH TRAY DEFIB INTERNAL,26995,1,
26633,O/H HEART VALVE,OH TRAY DEFIB INTERNAL,26995,1,
26634,CCS OPEN HEART CABG,OH TRAY OPEN HEART,25991,1,
26633,O/H HEART VALVE,OH TRAY OPEN HEART,25991,1,
26634,CCS OPEN HEART CABG,OH TRAY OPEN HEART P.A.,25972,1,
26633,O/H HEART VALVE,OH TRAY OPEN HEART VALVE,25990,2,
26634,CCS OPEN HEART CABG,OH TRAY STERNUM SAW,25971,1,
26633,O/H HEART VALVE,OH TRAY STERNUM SAW,25971,1,
26505,CCS GENERAL APPENDECTOMY,OMNI FASTRACK,26758,1,
26532,CCS ENT SINUS ENDOSCOPY,OR/ENT KARL STORZ FRONTAL SINUS TRAY,25976,1,
26553,CCS ENT BLEPHAROPLASTY,OR/ENT SET STAMMBERGER BIPOLAR SUCTION FORCEPS,26770,1,
26542,CCS ENT THYROIDECTOMY,OR/ENT SET STAMMBERGER BIPOLAR SUCTION FORCEPS,26770,1,
26506,CCS MINOR SURGERY / PLASTIC CASES,OR/ENT SET STAMMBERGER BIPOLAR SUCTION FORCEPS,26770,1,
26536,CARPAL TUNNEL RE PLAST,OR/ORT STRYKER BIPOLAR TRAY,26776,1,
26602,CCS ORTHO HAND-FOOT CASES,OR/ORT STRYKER BIPOLAR TRAY,26776,1,
26603,RADICAL NECK-TRACH,OR/ORT STRYKER BIPOLAR TRAY,26776,1,
26657,TENDON TRANSFER UPPER EXTREMITY,OR/ORT STRYKER BIPOLAR TRAY,26776,1,
26596,CSS GENERAL ABDOMINOPLASTY MAMMOPL,OR/PLASTICS (DR. WALSH) DEAVER RET.,26818,1,
