SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,,,,
ENT,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,ORAL,11400,11400 EXC TR-EXT B9+MARG 0.5 < CM,1,26506,minor basic,plastic basic,,,,,,
ENT,11440,11440 EXC FACF-MM B9+MARG 0.5 < CM,2,26506,minor basic,plastic basic,,,GEN,11401,11401 EXC TR-EXT B9+MARG 0.6-1 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,11443,11443 EXC FACE-MM B9+MARG 2.1-3 CM,1,26506,minor basic,plastic basic,,,GEN,11403,11403 EXC TR-EXT B9+MARG 2.1-3 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,11446,11446 EXC FACL-MM B9+MARG > 4 CM,3,26506,minor basic,plastic basic,,,GEN,11404,11404 EXC TR-EXT B9+MARG 3.1-4 CM,2,26506,minor basic,plastic basic,,,,,,
ENT,11641,11641 EXC F/E/E/N/L MAL+MRG 0.6-1,1,26506,minor basic,plastic basic,,,GEN,11406,11406 EXC TR-EXT B9+MARG > 4.0 CM,17,26506,minor basic,plastic basic,,,,,,
ENT,21014,21014 EXC FACE TUM DEEP 2 CM/>,1,26506,minor basic,plastic basic,,,OPTHAMOLOGY,11406,11406 EXC TR-EXT B9+MARG > 4.0 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,21556,21556 EXC NECK TUM DEEP < 5 CM,2,26506,minor basic,,,,GEN,11420,11420 EXC H-F-NK-SP B9+MARG 0.5 <,1,26506,minor basic,plastic basic,,,,,,
ENT,30120,30120 REVISION OF NOSE,2,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,GYN,11420,11420 EXC H-F-NK-SP B9+MARG 0.5 <,1,26506,minor basic,plastic basic,,,,,,
ENT,30140,30140 RESECT INFERIOR TURBINATE,40,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,OPTHAMOLOGY,11420,11420 EXC H-F-NK-SP B9+MARG 0.5 <,1,26506,minor basic,plastic basic,,,,,,
ENT,30140,30140 RESECT INFERIOR TURBINATE,8,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,PLASTIC,11420,11420 EXC H-F-NK-SP B9+MARG 0.5 <,1,26506,minor basic,plastic basic,,,,,,
ENT,30150,30150 PARTIAL REMOVAL OF NOSE,1,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,VASC,11420,11420 EXC H-F-NK-SP B9+MARG 0.5 <,1,26506,minor basic,plastic basic,,,,,,
ENT,30400,30400 RECONSTRUCTION OF NOSE,1,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,GYN,11422,11422 EXC H-F-NK-SP B9+MARG 1.1-2,1,26506,minor basic,plastic basic,,,,,,
