cpt,CPT,Procedure,Quantity,Possible ORCC,,,
66984,66984,POST CHMBR INTRAOCULAR LENS,773,EYE STRABISMUS (MUSCLE),26556,26556,
25608,25608,TREAT FX RAD INTRA-ARTICUL,7,,3,,
25609,25609,TREAT FX RADIAL 3+ FRAG,8,,26519,,
27130,27130,TOTAL HIP ARTHROPLASTY,47,ORTHO TOTAL HIP ARTHROPLASTY,26665,26665,
27134,27134,REVISE HIP JOINT REPLACEMENT,7,ORTHO TOTAL HIP ARTHROPLASTY,6,,
27245,27245,TREAT THIGH FRACTURE,6,,7,,
27442,27442,TOTAL KNEE ARTHROPLASTY,119,TOTAL KNEE REPLACEMENT,26664,26664,
27487,27487,REVISE/REPLACE KNEE JOINT,10,TOTAL KNEE REPLACEMENT,26664,26664,
11406,11406,11406 EXC TR-EXT B9+MARG > 4.0 CM,17,PLASTIC SKIN GRAFT,28081,28081,
15823,15823,15823 REVISION OF UPPER EYELID,30,EYE PLASTIC PROCEDURE,26632,26632,
19318,19318,19318 REDUCTION OF LARGE BREAST,12,GENERAL MASTECTOMY - SIMPLE RADICAL,26518,26518,
20680,20680,20680 REMOVAL OF SUPPORT IMPLANT,10,,13,,
20931,20931,20931 SP BONE ALGRFT STRUCT ADD-ON 9,9,,14,,
20936,20936,20936 SP BONE AGRFT LOCAL ADD-ON 11,11,,26668,26668,
22551,22551,22551 NECK SPINE FUSE&REMOV BEL C2 15,15,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
22558,22558,22558 LUMBAR SPINE FUSION 13,13,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
22845,22845,22845 INSERT SPINE FIXATION DEVICE 9,9,Neuro: Stimulator Insertion / Battery Replacement,43188,43188,
22851,22851,22851 APPLY SPINE PROSTH DEVICE 11,11,Neuro: Stimulator Insertion / Battery Replacement,43188,43188,
23412,23412,23412 REPAIR ROTATOR CUFF CHRONIC 15,15,ORTHOPEDICS SHOULDER ARTHROSCOPY,26670,26670,
23430,23430,23430 REPAIR BICEPS TENDON 22,22,PLASTIC TENDON TRANSFER UPPER EXTREMIT,26657,26657,
25608,25608,46999 ANUS SURGERY PROCEDURE,10,,22,,
25610,25610,47562 LAPAROSCOPIC CHOLECYSTECTOMY,69,"GENERAL LAPAROSCOPIC ASSISTED (CHOLECYST, etc.)",26519,26519,
58300,58300,58300 INSERT INTRAUTERINE DEVICE,13,,24,,
27130,27130,49505 PRP I/HERN INIT RFDIIC>5 YR,85,GENERAL HERNIA REPAIR - INGUIN AL,26514,26514,
27134,27134,49585 RPR UMBIL HERN REDUC > 5 YR,35,GENERAL HERNIA REPAIR - INGUIN AL,26514,26514,
27245,27245,49650 LAP ING HERNIA REPAIR INIT,27,GENERAL HERNIA REPAIR - INGUIN AL,26514,26514,
27442,27442,49652 LAP VENT/ABD HERNIA REPAIR,14,GENERAL HERNIA REPAIR - VENTRA - INCISION,26515,26515,
27487,27487,49654 LAP INC HERNIA REPAIR,10,GENERAL HERNIA REPAIR - INGUIN AL,26514,26514,
27792,27792,27792 TREATMENT OF ANKLE FRACTURE 11,11,ORTHO ANKLE -OPEN REDUCTION INTERNAL (ACHILLES),30,,
27814,27814,27814 TREATMENT OF ANKLE FRACTURE 11,11,ORTHO ANKLE -OPEN REDUCTION INTERNAL (ACHILLES),31,,
27880,27880,27880 AMPUTATION OF LOWER LEG,12,ORTHO AMPUTATION TOE-FINGER-AMR-LEG,26700,26700,
28285,28285,28285 REPAIR OF HAMMERTOE,14,PODIATRY CASE,26559,26559,
28810,28810,28810 AMPUTATION TOE & METATARSAL,10,ORTHO AMPUTATION TOE-FINGER-AMR-LEG,26602,26602,
29822,29822,29822 SHOULDER ARTHROSCOPY/SURGERY 25,25,ORTHOPEDICS SHOULDER ARTHROSCOPY,26670,26670,
29823,29823,29823 SHOULDER ARTHROSCOPY/SURGERY 14,14,ORTHOPEDICS SHOULDER ARTHROSCOPY,26670,26670,
29826,29826,29826 SHOULDER ARTHROSCOPY/SURGERY 41,41,ORTHOPEDICS SHOULDER ARTHROSCOPY,26670,26670,
29881,29881,29881 KNEE ARTHROSCOPY/SURGERY 63,63,KNEE ARTHROSCOPY,26669,26669,
29999,29999,29999 ARTHROSCOPY OF JOINT 25,25,,39,,
30140,30140,30140 RESECT INFERIOR TURBINATE,8,ENT RADICAL NECK - TRACH (LARYNGECTOMY,26603,26603,
30520,30520,30520 REPAIR OF NASAL SEPTUM,47,ENT SEPTO - RHINOPLASTY,26531,26531,
31255,31255,31255 REMOVAL OF ETHMOID SINUS,35,ENT SINUS ENDOSCOPY (FESS),26532,26532,
31267,31267,31267 ENDOSCOPY MAXILLARY SINUS,35,ENT SINUS ENDOSCOPY (FESS),26532,26532,
31276,31276,31276 SINUS ENDOSCOPY SURGICAL,31,ENT SINUS ENDOSCOPY (FESS),26532,26532,
31536,31536,31536 LARYNGOSCOPY W/BX & OP SCOPE,31,ENT LARYNGO - FISSURE - ISHIKI.,26535,26535,
6010,D6010,D6010 ENDOSTEAL IMPLANT BODY PLACE,82,,46,,
74,D7l4lT,D7l4lT EXTRACTION ERUPTED TOOTH/EXR,22,,47,,
7210,D7210,D7210 SURG REM ERUPTED TOOTH,16,,48,,
7310,D7310,D7310 ALVEOPLASTY W/ EXTRACTION,20,,49,,
7950,D7950,D7950 MANDIBLE GRAFT,7,,50,,
7951,D7951,D7951 SINUS AUG W BONF./BONE SUP,30,,51,,
31545,31545,31545 REMOVE VC LESION W/SCOPE,10,ENT SINUS ENDOSCOPY (FESS),26532,26532,
31599,31599,31599 LARYNX SURGERY PROCEDURE,11,ENT RADICAL NECK - TRACH (LARYNGECTOMY,26603,26603,
32663,32663,32663 THORACOSCOPY W/LOBECTOMY,15,THORACIC THORACOSCOPY (VATS),26614,26614,
32666,32666,32666 THORACOSCOPY W/WEDGE RESECT,13,THORACIC THORACOSCOPY (VATS),26614,26614,
32674,32674,32674 THORACOSCOPY LYMPH NODE EXC,14,THORACIC THORACOSCOPY (VATS),26614,26614,
33405,33405,33405 REPLACEMENT OF AORTIC VAI VE,22,OPEN HEART VALVE (AVR),26633,26633,
