Tray_id,Tray_Name,Instrument_Name,Instrument_ID,Quantity
7,GEN TRAY  MINOR  BASIC,"CRILE,  HALSTED,  MOSQUITO,  CVD,  5""",Pitting  18-2310,4
8,GEN TRAY  MINOR  BASIC,"CRILE,  HEMOSTAT, CVD,  5.5""",Pitting 18-2060,8
9,GEN TRAY  MINOR  BASIC,"CLANP,  ROCHESTER-PEAN,  CVD,  6.25""",Pilling 18-2445,4
10,GEN TRAY  MINOR  BASIC,"FCP,  BABCOCK, TISSUE,  STANDARD,  6.25""",Pitting  18-3010,2
11,GEN TRAY  MINOR  BASIC,"CLANP,  ALLIS,  INTEST, TISSUE,  4  X  5 TTH,  6”",Pilling 18-2850,6
12,GEN TRAY  MINOR  BASIC,"CLAMP,  ROCHESTER OCHSNER,  KOCHER, CVD  7.25”",Pitting 18-2665,2
13,GEN TRAY  MINOR  BASIC,"CLANP, TONSIL,  CVD,  7""",Pitting  18-2370,2
14,GEN TRAY  MINOR  BASIC,"FCP,  NIXTER,  GALL,  DUCT,  CVD, SERR,  8""",Pilling 17-2503,2
15,GEN TRAY  MINOR  BASIC,"CLANP,  LAHEY,  GALL  DUCT,  LONGITUDE  SERR,  7.75""",Pilling 17-2530,2
16,GEN TRAY  MINOR  BASIC,"NH,  NAYO,  HEGAR,  7.5""",Pilling 15-2722,2
17,GEN TRAY  MINOR  BASIC,"NH, CRILE,  WOOD,  6.25""",Pilling 15-2780,2
18,GEN TRAY  MINOR  BASIC,"SCISSOR,  METZENBAUN,  CVD,  7""",Pilling 14-2204,2
19,GEN TRAY  MINOR  BASIC,"SCISSOR,  MAYO, STR,  6.75""",Pitting  14-2227,1
20,GEN TRAY  MINOR  BASIC,"SCISSOR,  NAYO,  CVD,  6.75""",Pilling  14-2225,1
21,GEN TRAY  MINOR  BASIC,"SCISSOR,  LISTER,  BANDAGE,  7""",Pilling 14-2420,1
22,GEN TRAY  MINOR  BASIC,"TOWEL  CLAMP,  PENETRATING,  3.5""",Pilling 12-1605,4
23,GEN TRAY  MINOR  BASIC,"HANDLE,  KNIFE,  #3,  SAFTY-LOCK,  4.5""",B-D 374030,2
24,GEN TRAY  MINOR  BASIC,"HANDLE,  KNIFE,  #7",Pilling  35-2957,1
25,GEN TRAY  MINOR  BASIC,"FCP, DEBAKEY, TISSUE,  ATRAUGRIP,  VASC,  STR,  7.75”",Pilling  35-1802,2
26,GEN TRAY  MINOR  BASIC,"FCP, ADSON, TISSUE,  W/TEETH,  4.75""",Pitting  18-1223,2
27,GEN TRAY  MINOR  BASIC,"FCP, THUNB,  TISSUE,  1 X  2 TTH,  5.5""",Pilling  18-1129,2
28,GEN TRAY  MINOR  BASIC,"FCP,  BONNEY,  2x3,  7  1/8""",SSI 06-8790,1
29,GEN TRAY  MINOR  BASIC,"SUCTION,  TUBE,  ADSON,  CVD,  15FR.",Pilling 16-2456,1
30,GEN TRAY  MINOR  BASIC,WEITHLANDER,Pitting  16-5362,2
31,GEN TRAY  MINOR  BASIC,"RETRACTOR,  GELPI,  SINGLE,  SHP,  PRONG,  7""",Pitting  16-5440,2
32,GEN TRAY  MINOR  BASIC,"RETRACTOR, OCHSNER, MALL, RIBBON, 2.5CM X 33CM",Pitting  16-4164,1
33,GEN TRAY  MINOR  BASIC,"RETRACTOR, ARNY-NAW,  8.5”",Pilling 16-4715,2
34,GEN TRAY  MINOR  BASIC,"RETRACTOR,  RICHARDSON,  SMALL",Pilling 16-4550,2
35,GEN TRAY  MINOR  BASIC,"RETRACTOR,  RICHARDSON,  LARGE",Pilling  16-4850,2
36,GEN TRAY  MINOR  BASIC,"RETRACTOR,  4-PRONGS,  BLUNT,  8-5/8""",Pitting 16-4414,1
37,GEN TRAY  MINOR  BASIC,"RETRACTOR,  VOLKNANN,  4-PRONGS,  SHARP,  8.5""",Pilling 16-4404,1
38,GEN TRAY  MINOR  BASIC,"CLIP,  ZIMMER,  LARGE",Zimmer  5702,2
39,GEN TRAY  MINOR  BASIC,"CLIP,  ZIMMER,  SNALL",Zimmer  5703,2
40,GEN TRAY  MINOR  BASIC,"CLAM,  FOERSTER,  SPONGE,  SERRATED,  STR, 9.5""",Pilling  12-1417,4
